link,address,property_type,price,bed,bath,hoa,land_lease,area,area_unit,year,commute,listing_age,listing_agent,listing_agent_brokerage,monthly_30,monthly_20,monthly_15,total,per_person
https://www.realtor.com/realestateandhomes-detail/195-Blossom-Hill-Rd-Lot-118_San-Jose_CA_95123_M11146-58139,"195 Blossom Hill Rd Lot 118, San Jose, CA 95123",Mfd/Mobile,379000,3,2,0,1033,1782,square feet,1998,22 min,131,Alexander Ho,Intero Real Estate Services,1854,2166,2452,2887,962.3333333
https://www.realtor.com/realestateandhomes-detail/195-Blossom-Hill-Rd-Lot-290_San-Jose_CA_95123_M16186-29204,"195 Blossom Hill Rd Lot 290, San Jose, CA 95123",Mfd/Mobile,165000,2,1,0,1006,756,square feet,1969,23 min,7,Keith Kanady,COMPASS,807,943,1068,1813,906.5
https://www.realtor.com/realestateandhomes-detail/2150-Oakland-Rd-595_San-Jose_CA_95131_M99407-00143,"2150 Oakland Rd # 595, San Jose, CA 95131",Mfd/Mobile,259000,3,2,0,2950,1410,square feet,2025,18 min,26,Brian Shaw,Alliance Manufactured Homes,1267,1480,1676,4217,1405.666667
https://www.realtor.com/realestateandhomes-detail/2151-Oakland-Rd-Spc-229_San-Jose_CA_95131_M95457-80633,"2151 Oakland Rd Spc 229, San Jose, CA 95131",Mfd/Mobile,379900,4,2,0,1573,1440,square feet,1972,20 min,25,David Phan,Epique Realty,1858,2171,2458,3431,857.75
https://www.realtor.com/realestateandhomes-detail/2151-Oakland-Rd-Spc-552_San-Jose_CA_95131_M17647-45816,"2151 Oakland Rd Spc 552, San Jose, CA 95131",Mfd/Mobile,315000,3,2,0,1777,1485,square feet,2000,19 min,82,David Phan,Epique Realty,1541,1800,2038,3318,1106
https://www.realtor.com/realestateandhomes-detail/2151-Oakland-Rd-Spc-595_San-Jose_CA_95131_M90929-36428,"2151 Oakland Rd Spc 595, San Jose, CA 95131",Mfd/Mobile,259000,3,2,0,2950,1410,square feet,2025,19 min,4,Brian Shaw,Alliance Manufactured Homes,1267,1480,1676,4217,1405.666667
https://www.realtor.com/realestateandhomes-detail/3637-Snell-Ave-Spc-57_San-Jose_CA_95136_M19231-32369,"3637 Snell Ave Spc 57, San Jose, CA 95136",Mfd/Mobile,358888,4,2,0,1558,1512,square feet,2001,20 min,7,Emily Ung,Alliance Bay Realty,1755,2051,2322,3313,828.25
https://www.realtor.com/realestateandhomes-detail/418-Pinefield-Rd_San-Jose_CA_95134_M16948-23501,"418 Pinefield Rd Unit 418, San Jose, CA 95134",Mfd/Mobile,345800,4,2,0,237,1440,square feet,1973,23 min,155,Sierra Pearson-wyrick,Wyrick Real Estate,1691,1976,2238,1928,482
https://www.realtor.com/realestateandhomes-detail/433-Los-Encinos-Ave_San-Jose_CA_95134_M99285-67235,"433 Los Encinos Ave Unit 433, San Jose, CA 95134",Mfd/Mobile,199000,3,2,0,2042.25,1248,square feet,2001,26 min,12,Anthony Lovaglia,Wyrick Real Estate,973,1137,1288,3015.25,1005.083333
https://www.realtor.com/realestateandhomes-detail/516-Martha-St-Unit-101_San-Jose_CA_95112_M29397-92769,"516 Martha St Unit 101, San Jose, CA 95112",Condo,380000,1,1,580,0,368,square feet,1999,14 min,3,Terese Ferrara,Kw Bay Area Estates,1859,2172,2459,2439,2439
https://www.realtor.com/realestateandhomes-detail/534-Mill-Pond-Dr_San-Jose_CA_95125_M14654-35212,"534 Mill Pond Dr, San Jose, CA 95125",Mfd/Mobile,359000,2,2,0,1477,1448,square feet,1979,14 min,132,Marc Blumthal,Alliance Manufactured Homes,1756,2052,2323,3233,1616.5
https://www.realtor.com/realestateandhomes-detail/708-Spindrift-Dr_San-Jose_CA_95134_M18404-37315,"708 Spindrift Dr Unit 708, San Jose, CA 95134",Mfd/Mobile,299000,3,2,0,1614,1500,square feet,2001,26 min,38,Eric Sjoberg,Century21 Real Estate Alliance,1462,1709,1935,3076,1025.333333
https://www.realtor.com/realestateandhomes-detail/777-Spindrift-Pl_San-Jose_CA_95134_M92634-57295,"777 Spindrift Pl Unit 777, San Jose, CA 95134",Mfd/Mobile,269000,4,2,0,1838,1440,square feet,1973,28 min,47,Juan Castrillon,Alliance Manufactured Homes,1316,1537,1741,3154,788.5
https://www.realtor.com/realestateandhomes-detail/827-Villa-Teresa-Way_San-Jose_CA_95123_M15447-54866,"827 Villa Teresa Way Unit 827, San Jose, CA 95123",Mfd/Mobile,399900,2,2,0,1598,1856,square feet,1981,20 min,263,Todd Su,Advantage Homes,1956,2285,2588,3554,1777
